Champion,Roles,DamageType,Scaling,HardEngage,FollowUpEngage,PickThreat,Frontline,Disengage,Waveclear,ZoneControl,ObjectiveSecure,AntiTank,FrontToBackDPS,DiveThreat,SideLaneThreat,Poke,FogThreat,EarlyPriority,PrimaryCarry,SustainedDPS,TurretSiege,SelfPeel,UtilityCarry
Gwen,Top|Jungle,AD,Mid,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Hecarim,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Heimerdinger,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Hwei,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Illaoi,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Irelia,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Ivern,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Janna,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Jarvan IV,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Jax,Top|Jungle,AD,Mid,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Jayce,ADC|Top|Jungle,AD,Late,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
Jhin,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Jinx,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
K'Sante,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Kai'Sa,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Kalista,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Karma,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Karthus,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Kassadin,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Katarina,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Kayle,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Kayn,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Kennen,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Kha'Zix,Mid|Jungle,AD,Early,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Kindred,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Kled,Top|Jungle,AD,Mid,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Kog'Maw,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
LeBlanc,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Lee Sin,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Leona,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Lillia,Top|Jungle|Mid|Support,Mixed,Late,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Lissandra,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Lucian,ADC|Mid|Jungle,AD,Late,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
Lulu,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Lux,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Malphite,Top|Support|Mid,Mixed,Late,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Malzahar,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Maokai,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Master Yi,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Mel,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Milio,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Miss Fortune,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Mordekaiser,Top|Jungle|Mid|Support,Mixed,Late,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Morgana,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Naafiri,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Nami,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Nasus,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Nautilus,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Neeko,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Nidalee,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Nilah,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Nocturne,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Nunu & Willump,Top|Support|Mid,Mixed,Late,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Olaf,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Orianna,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Ornn,Top|Support,AD,Mid,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Pantheon,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Poppy,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Pyke,Support|Mid|Jungle,Mixed,Early,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1
Qiyana,Mid|Jungle,AD,Early,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Quinn,ADC|Mid|Jungle,AD,Late,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
Rakan,Support,AP,Mid,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Rammus,Top|Support,AD,Mid,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rek'Sai,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Rell,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Renata Glasc,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Renekton,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Rengar,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Riven,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Rumble,Top|Jungle|Mid|Support,Mixed,Late,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Ryze,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Samira,ADC|Mid|Jungle,AD,Late,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
Sejuani,Top|Support,AD,Mid,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Senna,ADC|Support,Mixed,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
Seraphine,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Sett,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Shaco,Mid|Jungle,AD,Early,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Shen,Top|Support,AD,Mid,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Shyvana,Top|Jungle|Mid|Support,Mixed,Late,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Singed,Top|Support|Mid,Mixed,Late,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Sion,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Sivir,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Skarner,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Smolder,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Sona,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Soraka,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Swain,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Sylas,Mid|Jungle|Support,Mixed,Late,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Syndra,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Tahm Kench,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Taliyah,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Talon,Mid|Jungle,AD,Early,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Taric,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Teemo,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Thresh,Support|Top,Mixed,Mid,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Tristana,ADC|Mid|Jungle,AD,Late,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
Trundle,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Tryndamere,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Twisted Fate,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Twitch,ADC|Mid|Jungle,AD,Late,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
Udyr,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Urgot,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Varus,ADC|Mid|Support,Mixed,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
Vayne,ADC|Mid|Jungle,AD,Late,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
Veigar,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Vel'Koz,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Vex,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Vi,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Viego,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Viktor,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Vladimir,Top|Jungle|Mid|Support,Mixed,Late,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Volibear,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Warwick,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Wukong,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Xayah,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Xerath,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Xin Zhao,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Yasuo,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Yone,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Yorick,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Yunara,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Yuumi,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Zaahen,Top|Jungle|Mid,AD,Early,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0
Zac,Top|Support|Jungle,AD,Mid,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
Zed,Mid|Jungle,AD,Early,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Zeri,ADC,AD,Late,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
Ziggs,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Zilean,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Zoe,Mid|Support,AP,Late,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1
Zyra,Support|Mid,AP,Late,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
